Name,BioProject,BioSample,SRA,Assembly,Collection
MMMOSAM:6b2bdc80-01b7-430d-a18b-b3b65d8e81f6,PRJNA604975,SAMN18257283,SRR13991653,NA,Oxford
MMMOSAM:6af80fa7-2aac-439c-a288-b7674c3d07d8,PRJNA604975,SAMN18257285,SRR13991654,NA,Oxford
MMMOSAM:6a6c972b-f478-4f98-8d3a-158a4d4dc4e6,PRJNA604975,SAMN18257287,SRR13991655,NA,Oxford
MMMOSAM:6a27ecdb-6b60-4974-8215-d0ad655f1b25,PRJNA604975,SAMN18257288,SRR13991656,NA,Oxford
MMMOSAM:69eb80d7-ec66-4f81-9ecf-00ca043d7bdf,PRJNA604975,SAMN18257290,SRR13991657,NA,Oxford
MMMOSAM:69a68a71-05bf-4ef0-b462-0bb815f74795,PRJNA604975,SAMN18257292,SRR13991658,NA,Oxford
MMMOSAM:699ce439-0023-4318-9e9d-5d1270e7ad23,PRJNA604975,SAMN18257293,SRR13991659,NA,Oxford
MMMOSAM:6944a3a2-ffdc-44e2-b73f-e1d69ffd444c,PRJNA604975,SAMN18257295,SRR13991660,NA,Oxford
MMMOSAM:692570ed-0d16-40bd-8128-3fd072e3cb83,PRJNA604975,SAMN18257297,SRR13991661,NA,Oxford
MMMOSAM:69043538-5ff8-466b-a687-40a7522364e0,PRJNA604975,SAMN18257298,SRR13991662,NA,Oxford
MMMOSAM:68da53a8-a3fa-4e3b-81fe-1bc465201650,PRJNA604975,SAMN18257300,SRR13991663,NA,Oxford
MMMOSAM:68d2bfc8-9a58-4f51-b38b-29771c7a7502,PRJNA604975,SAMN18257302,SRR13991664,NA,Oxford
MMMOSAM:68a1d7bf-2154-4c8c-bbbd-3b26973a0a29,PRJNA604975,SAMN18257303,SRR13991665,NA,Oxford
MMMOSAM:2a52cfc5-8a59-4643-a64f-9553e063824d,PRJNA604975,SAMN18262950,SRR13991666,NA,Oxford
MMMOSAM:2a3ce06c-a6b3-4fb4-a0c5-be83ee025c70,PRJNA604975,SAMN18262951,SRR13991667,NA,Oxford
MMMOSAM:68517eb9-f3e1-4085-a1cf-578e3e5d57e3,PRJNA604975,SAMN18257307,SRR13991668,NA,Oxford
MMMOSAM:681b8090-ca38-4dc7-85dd-3df00ae47884,PRJNA604975,SAMN18257308,SRR13991669,NA,Oxford
MMMOSAM:dcbc32a5-8f82-4a8d-a270-6ec7847a72c3,PRJNA604975,SAMN18254238,SRR13991670,NA,Oxford
MMMOSAM:dca5a3af-d649-45da-b28a-b852004f6773,PRJNA604975,SAMN18254239,SRR13991671,NA,Oxford
MMMOSAM:dc246702-0f63-4952-bb5d-8bc80f1bbf80,PRJNA604975,SAMN18254242,SRR13991672,NA,Oxford
MMMOSAM:dc122f36-d748-4bb6-bf85-bab3062e1c5f,PRJNA604975,SAMN18254243,SRR13991673,NA,Oxford
MMMOSAM:dc0c3346-17ab-4bda-ad1c-c2f738ee62cf,PRJNA604975,SAMN18254244,SRR13991674,NA,Oxford
MMMOSAM:dbc30d4f-9af2-4795-b20d-f8e2ae89e3bd,PRJNA604975,SAMN18254247,SRR13991675,NA,Oxford
MMMOSAM:dbaedc99-8f40-44e1-8c3c-ea6debfb87d0,PRJNA604975,SAMN18254248,SRR13991676,NA,Oxford
MMMOSAM:db8ab3d9-3537-4eb0-9335-a8d9a1eeefe4,PRJNA604975,SAMN18254249,SRR13991677,NA,Oxford
MMMOSAM:db76f321-c04c-41ae-98df-5704386f787c,PRJNA604975,SAMN18254252,SRR13991678,NA,Oxford
MMMOSAM:db72b373-5163-4e16-b0e5-95aed8cc9bac,PRJNA604975,SAMN18254253,SRR13991679,NA,Oxford
MMMOSAM:db6aa2c1-bf70-4c20-a04e-ba41ee336881,PRJNA604975,SAMN18254254,SRR13991680,NA,Oxford
MMMOSAM:db4a74ec-8b72-4272-931f-4923271901ce,PRJNA604975,SAMN18254257,SRR13991681,NA,Oxford
MMMOSAM:db480668-21cf-4629-9758-15f2776a3ecb,PRJNA604975,SAMN18254258,SRR13991682,NA,Oxford
MMMOSAM:db3b7ddf-6563-40b8-a352-a350543caf92,PRJNA604975,SAMN18254259,SRR13991683,NA,Oxford
MMMOSAM:da2a678d-9d3a-4d45-b895-4bb17e511179,PRJNA604975,SAMN18254262,SRR13991684,NA,Oxford
MMMOSAM:da1407d9-5701-4bf3-9839-a77e8e5ec12a,PRJNA604975,SAMN18254263,SRR13991685,NA,Oxford
MMMOSAM:da0e1e9a-f4f3-4f80-9ef4-c1f40e057cdf,PRJNA604975,SAMN18254264,SRR13991686,NA,Oxford
MMMOSAM:d9e6b52f-631b-4cf6-8d6a-22e5039d2236,PRJNA604975,SAMN18254267,SRR13991687,NA,Oxford
MMMOSAM:d97ccb0a-4c29-409d-8328-0988abb87837,PRJNA604975,SAMN18254269,SRR13991688,NA,Oxford
MMMOSAM:d963577c-444f-446c-b39e-ef22309fb0fe,PRJNA604975,SAMN18254272,SRR13991689,NA,Oxford
MMMOSAM:d937eff0-847a-4f98-bd50-5af98924efcc,PRJNA604975,SAMN18254273,SRR13991690,NA,Oxford
MMMOSAM:d9287b21-2fd9-4d00-a59d-e293402bb9f2,PRJNA604975,SAMN18254274,SRR13991691,NA,Oxford
MMMOSAM:d90bf138-f04a-450a-b71b-9ebf3e4c7d35,PRJNA604975,SAMN18254277,SRR13991692,NA,Oxford
MMMOSAM:d8ac5420-8908-4a8a-a6f9-d7361ad5ad82,PRJNA604975,SAMN18254279,SRR13991693,NA,Oxford
MMMOSAM:d86d542b-c1f5-44c9-bcd7-965f6d492bf8,PRJNA604975,SAMN18254282,SRR13991694,NA,Oxford
MMMOSAM:d8630117-551d-4368-a5b0-932eb30afe51,PRJNA604975,SAMN18254283,SRR13991695,NA,Oxford
MMMOSAM:d85c6ac7-c400-49ab-842d-738b92863750,PRJNA604975,SAMN18254284,SRR13991696,NA,Oxford
MMMOSAM:d8123112-ced8-41b8-bdf7-d9ae74bb9f79,PRJNA604975,SAMN18254287,SRR13991697,NA,Oxford
MMMOSAM:80897bb9-bd5a-4d7a-b4d3-b558ff3f487c,PRJNA604975,SAMN18257085,SRR13991698,NA,Oxford
MMMOSAM:c7fef041-2e41-4454-a8fe-766f947e80db,PRJNA604975,SAMN18254432,SRR13991699,NA,Oxford
MMMOSAM:803fee06-cb68-424e-8a7b-873c2f3a2387,PRJNA604975,SAMN18257087,SRR13991700,NA,Oxford
MMMOSAM:c7b10127-09ef-4683-885c-199dc9d53f0f,PRJNA604975,SAMN18254434,SRR13991701,NA,Oxford
MMMOSAM:c799fd5d-5a6e-451f-ab0e-51d942b33913,PRJNA604975,SAMN18254435,SRR13991702,NA,Oxford
MMMOSAM:7fcd9424-be3b-413b-a65a-b731afec602a,PRJNA604975,SAMN18257090,SRR13991703,NA,Oxford
MMMOSAM:c7646870-618e-4f9b-897f-6f5785e5d843,PRJNA604975,SAMN18254437,SRR13991704,NA,Oxford
MMMOSAM:7fca96aa-7a29-43b5-b1b3-26b83ead940f,PRJNA604975,SAMN18257091,SRR13991705,NA,Oxford
MMMOSAM:c73f8433-b883-4d56-bf9c-fda0a20e3c90,PRJNA604975,SAMN18254439,SRR13991706,NA,Oxford
MMMOSAM:c721e382-57e9-487c-b4f2-609ee2a6976b,PRJNA604975,SAMN18254440,SRR13991707,NA,Oxford
MMMOSAM:7fb9f681-72dc-4dbb-bd06-603b46a42b5b,PRJNA604975,SAMN18257092,SRR13991708,NA,Oxford
MMMOSAM:c6dcf612-bc33-4a19-b4f1-cd709d6f33a3,PRJNA604975,SAMN18254442,SRR13991709,NA,Oxford
MMMOSAM:7f5fec2a-75f0-4d71-ab44-0205e1a8810d,PRJNA604975,SAMN18257095,SRR13991710,NA,Oxford
MMMOSAM:c6753b40-415d-440e-96d7-d273d9857edb,PRJNA604975,SAMN18254444,SRR13991711,NA,Oxford
MMMOSAM:c653d9ab-83ab-4947-b0d7-6255536ad0f4,PRJNA604975,SAMN18254445,SRR13991712,NA,Oxford
MMMOSAM:7f3f3deb-a87c-4d5e-ab04-c1165a684b69,PRJNA604975,SAMN18257097,SRR13991713,NA,Oxford
MMMOSAM:c5e8e0ac-2bb4-44d7-b3c4-a93c21015722,PRJNA604975,SAMN18254447,SRR13991714,NA,Oxford
MMMOSAM:7ee7e8a1-f9e1-4f03-b048-1f2df9ed1837,PRJNA604975,SAMN18257100,SRR13991715,NA,Oxford
MMMOSAM:c5a4df86-98e9-44df-bc31-0ed82cd4961f,PRJNA604975,SAMN18254449,SRR13991716,NA,Oxford
MMMOSAM:c5a09f47-18ae-4f18-a41f-bc6711ac0bb3,PRJNA604975,SAMN18254450,SRR13991717,NA,Oxford
MMMOSAM:7ee7e1ff-c7a7-4379-9b28-9b144dbab81c,PRJNA604975,SAMN18257101,SRR13991718,NA,Oxford
MMMOSAM:c57ec1d2-2f0e-479d-bf8d-0554b7640563,PRJNA604975,SAMN18254452,SRR13991719,NA,Oxford
MMMOSAM:7ead057b-8672-4719-8ece-6f3b6a57fe8a,PRJNA604975,SAMN18257102,SRR13991720,NA,Oxford
MMMOSAM:c56396cf-6e82-49ae-b4bb-70578b6b462b,PRJNA604975,SAMN18254454,SRR13991721,NA,Oxford
MMMOSAM:c54cea6a-6ab8-4ce1-9177-59d9a8538df1,PRJNA604975,SAMN18254455,SRR13991722,NA,Oxford
MMMOSAM:7e794ac3-4477-409e-883d-e42fd954f6f4,PRJNA604975,SAMN18257105,SRR13991723,NA,Oxford
MMMOSAM:c52d83f6-b4eb-4dfb-80a2-7688ea8a5f1c,PRJNA604975,SAMN18254457,SRR13991724,NA,Oxford
MMMOSAM:7e2c31ef-70d2-455b-90d5-4bb90c858896,PRJNA604975,SAMN18257106,SRR13991725,NA,Oxford
MMMOSAM:d80e2818-434b-4e06-be84-580d9f5e843a,PRJNA604975,SAMN18254288,SRR13991726,NA,Oxford
MMMOSAM:d7f22087-714f-443a-ab0d-8a564822e7b2,PRJNA604975,SAMN18254289,SRR13991727,NA,Oxford
MMMOSAM:d7cda758-c322-43d7-b40f-d89b1db518b3,PRJNA604975,SAMN18254292,SRR13991728,NA,Oxford
MMMOSAM:d7af5393-1efc-4b44-9be4-22060bbac3de,PRJNA604975,SAMN18254294,SRR13991729,NA,Oxford
MMMOSAM:d763f5e4-58c6-45c7-8cdb-6f85385d741a,PRJNA604975,SAMN18254297,SRR13991730,NA,Oxford
