Name,BioProject,BioSample,SRA,Assembly,Collection
H1-003-0029-P-C,PRJEB35745,SAMEA6378121,NA,GCA_902709025.2,French
H1-003-0030-D-F,PRJEB35745,SAMEA6378122,NA,GCA_902708995.2,French
H1-003-0032-M-L,PRJEB35745,SAMEA6378123,NA,GCA_902709305.2,French
H1-003-0033-A-J,PRJEB35745,SAMEA6378124,NA,GCA_902709335.2,French
H1-003-0034-G-T,PRJEB35745,SAMEA6378125,NA,GCA_902709195.2,French
H1-003-0035-D-E,PRJEB35745,SAMEA6378126,NA,GCA_902709185.2,French
H1-003-0036-P-A,PRJEB35745,SAMEA6378127,NA,GCA_902709255.2,French
H1-003-0037-B-J,PRJEB35745,SAMEA6378128,NA,GCA_902709285.2,French
H1-003-0038-E-A,PRJEB35745,SAMEA6378129,NA,GCA_902709245.2,French
H1-003-0039-D-O,PRJEB35745,SAMEA6378130,NA,GCA_902709205.2,French
H1-003-0040-A-H,PRJEB35745,SAMEA6378131,NA,GCA_902709325.2,French
H1-003-0041-L-G,PRJEB35745,SAMEA6378132,NA,GCA_902709235.2,French
H1-003-0042-K-J,PRJEB35745,SAMEA6378133,NA,GCA_902709275.2,French
H1-003-0043-G-D,PRJEB35745,SAMEA6378134,NA,GCA_902709315.2,French
H1-003-0044-B-J,PRJEB35745,SAMEA6378135,NA,GCA_902709215.2,French
H1-003-0045-B-K,PRJEB35745,SAMEA6378136,NA,GCA_902709165.2,French
H1-003-0046-S-C,PRJEB35745,SAMEA6378137,NA,GCA_902709295.2,French
H1-003-0047-P-C,PRJEB35745,SAMEA6378138,NA,GCA_902709225.2,French
H1-003-0048-D-P,PRJEB35745,SAMEA6378139,NA,GCA_902709155.2,French
H1-003-0049-H-A,PRJEB35745,SAMEA6378140,NA,GCA_902709345.2,French
H1-003-0050-R-P,PRJEB35745,SAMEA6378141,NA,GCA_902709175.2,French
H1-003-0051-D-J,PRJEB35745,SAMEA6378142,NA,GCA_902709265.2,French
H1-003-0052-K-I,PRJEB35745,SAMEA6378143,NA,GCA_902709395.2,French
H1-003-0053-M-P,PRJEB35745,SAMEA6378144,NA,GCA_902709405.2,French
H1-003-0054-P-P,PRJEB35745,SAMEA6378145,NA,GCA_902709505.2,French
H1-003-0055-S-J,PRJEB35745,SAMEA6378146,NA,GCA_902709485.2,French
H1-003-0056-S-G,PRJEB35745,SAMEA6378147,NA,GCA_902709445.2,French
H1-003-0057-E-J,PRJEB35745,SAMEA6378148,NA,GCA_902709535.2,French
H1-003-0058-P-M,PRJEB35745,SAMEA6378149,NA,GCA_902709425.2,French
H1-003-0059-B-D,PRJEB35745,SAMEA6378150,NA,GCA_902709545.2,French
H1-003-0060-L-P,PRJEB35745,SAMEA6378151,NA,GCA_902709415.2,French
H1-003-0061-B-S,PRJEB35745,SAMEA6378152,NA,GCA_902709465.2,French
H1-003-0062-S-A,PRJEB35745,SAMEA6378153,NA,GCA_902709455.2,French
H1-003-0063-C-D,PRJEB35745,SAMEA6378154,NA,GCA_902709495.2,French
H1-003-0064-F-B,PRJEB35745,SAMEA6378155,NA,GCA_902709515.2,French
H1-003-0065-B-J,PRJEB35745,SAMEA6378156,NA,GCA_902709385.2,French
H1-003-0066-D-R,PRJEB35745,SAMEA6378157,NA,GCA_902709355.2,French
H1-003-0067-G-L,PRJEB35745,SAMEA6378158,NA,GCA_902709475.2,French
H1-003-0068-D-P,PRJEB35745,SAMEA6378159,NA,GCA_902709375.2,French
H1-003-0069-M-R,PRJEB35745,SAMEA6378160,NA,GCA_902709365.2,French
H1-003-0070-P-A,PRJEB35745,SAMEA6378161,NA,GCA_902709525.2,French
H1-003-0071-C-J,PRJEB35745,SAMEA6378162,NA,GCA_902709435.2,French
H1-003-0072-K-A,PRJEB35745,SAMEA6378163,NA,GCA_902709615.2,French
H1-003-0073-B-R,PRJEB35745,SAMEA6378164,NA,GCA_902709665.2,French
H1-003-0074-F-B,PRJEB35745,SAMEA6378165,NA,GCA_902709625.2,French
H1-003-0075-G-C,PRJEB35745,SAMEA6378166,NA,GCA_902709685.2,French
H1-003-0076-A-L,PRJEB35745,SAMEA6378167,NA,GCA_902709745.2,French
H1-003-0077-P-R,PRJEB35745,SAMEA6378168,NA,GCA_902709655.2,French
H1-003-0078-L-J,PRJEB35745,SAMEA6378169,NA,GCA_902709705.2,French
H1-003-0079-G-R,PRJEB35745,SAMEA6378170,NA,GCA_902709575.2,French
H1-003-0080-M-J,PRJEB35745,SAMEA6378171,NA,GCA_902709725.2,French
H1-003-0081-L-V,PRJEB35745,SAMEA6378172,NA,GCA_902709715.2,French
H1-003-0082-B-D,PRJEB35745,SAMEA6378173,NA,GCA_902709595.2,French
