Name,BioProject,BioSample,SRA,Assembly,Collection
ECO0274,PRJEB4681,SAMEA2204491,ERR434467,GCF_000005845.1,Cambridge
ECO0287,PRJEB4681,SAMEA2204504,ERR434468,GCF_000005845.1,Cambridge
ECO0291,PRJEB4681,SAMEA2204508,ERR434469,GCF_000005845.1,Cambridge
ECO0398,PRJEB4681,SAMEA2204609,ERR434470,GCF_000005845.1,Cambridge
ECO0404,PRJEB4681,SAMEA2204615,ERR434471,GCF_000005845.1,Cambridge
ECO0407,PRJEB4681,SAMEA2204618,ERR434472,GCF_000005845.1,Cambridge
ECO0411,PRJEB4681,SAMEA2204622,ERR434473,GCF_000005845.1,Cambridge
ECO0424,PRJEB4681,SAMEA2204633,ERR434474,GCF_000005845.1,Cambridge
eo26,PRJEB4681,SAMEA2204650,ERR434475,GCF_000005845.1,Cambridge
eo27,PRJEB4681,SAMEA2204651,ERR434476,GCF_000005845.1,Cambridge
eo80,PRJEB4681,SAMEA2204665,ERR434477,GCF_000005845.1,Cambridge
eo126,PRJEB4681,SAMEA2204677,ERR434478,GCF_000005845.1,Cambridge
eo149,PRJEB4681,SAMEA2204688,ERR434479,GCF_000005845.1,Cambridge
ECO0220,PRJEB4681,SAMEA2204690,ERR434480,GCF_000005845.1,Cambridge
eo194,PRJEB4681,SAMEA2204704,ERR434481,GCF_000005845.1,Cambridge
eo213,PRJEB4681,SAMEA2204712,ERR434482,GCF_000005845.1,Cambridge
eo345,PRJEB4681,SAMEA2204762,ERR434483,GCF_000005845.1,Cambridge
eo372,PRJEB4681,SAMEA2204768,ERR434484,GCF_000005845.1,Cambridge
eo560,PRJEB4681,SAMEA2204836,ERR434485,GCF_000005845.1,Cambridge
eo569,PRJEB4681,SAMEA2204844,ERR434486,GCF_000005845.1,Cambridge
eo656,PRJEB4681,SAMEA2204873,ERR434487,GCF_000005845.1,Cambridge
eo661,PRJEB4681,SAMEA2204878,ERR434488,GCF_000005845.1,Cambridge
eo765,PRJEB4681,SAMEA2204914,ERR434489,GCF_000005845.1,Cambridge
eo802,PRJEB4681,SAMEA2204921,ERR434490,GCF_000005845.1,Cambridge
eo222,PRJEB4681,SAMEA2204967,ERR434491,GCF_000005845.1,Cambridge
eo913,PRJEB4681,SAMEA2205001,ERR434492,GCF_000005845.1,Cambridge
eo914,PRJEB4681,SAMEA2205002,ERR434493,GCF_000005845.1,Cambridge
eo930,PRJEB4681,SAMEA2205015,ERR434494,GCF_000005845.1,Cambridge
eo693,PRJEB4681,SAMEA2205062,ERR434495,GCF_000005845.1,Cambridge
eo1136,PRJEB4681,SAMEA2205087,ERR434496,GCF_000005845.1,Cambridge
eo1202,PRJEB4681,SAMEA2205112,ERR434497,GCF_000005845.1,Cambridge
eo1222,PRJEB4681,SAMEA2205121,ERR434498,GCF_000005845.1,Cambridge
eo1223,PRJEB4681,SAMEA2205122,ERR434499,GCF_000005845.1,Cambridge
eo1264,PRJEB4681,SAMEA2205129,ERR434500,GCF_000005845.1,Cambridge
eo1312,PRJEB4681,SAMEA2205145,ERR434501,GCF_000005845.1,Cambridge
